Swimming Pool,Home Type,Residence Type,WiFi,TV,AC,Bedrooms,Bathrooms,Capacity,Private Gym,Parking,Wheelchair Accessibility,Pets Allowed,Kids Friendly,Home Workers,Security Guard,Private Garden,Smokers Allowed,Tier
0,1,1,1,1,1,4,2,4,1,0,1,1,1,1,1,1,0,2
0,0,0,1,1,1,5,3,8,1,1,1,1,1,1,1,1,1,2
0,1,0,1,1,1,5,4,5,1,1,0,1,1,1,1,1,1,2
0,1,1,1,1,1,4,2,8,1,1,0,0,1,1,1,1,1,2
0,0,1,1,1,1,6,3,8,1,1,1,1,1,1,1,1,0,2
0,1,0,1,1,1,6,4,9,1,1,0,1,1,1,1,1,1,2
0,0,0,1,1,1,4,4,8,1,1,1,1,1,1,1,1,1,2
0,1,1,1,1,1,3,3,6,1,1,0,0,1,1,1,1,1,2
0,1,0,1,1,1,3,2,3,1,1,1,1,1,1,1,1,0,2
0,0,1,1,1,0,3,2,5,0,1,0,0,1,1,1,1,0,3
0,0,0,1,1,0,4,2,4,0,1,0,0,1,1,1,1,1,3
0,0,0,1,1,0,2,1,3,0,0,1,1,1,1,1,1,0,3
0,1,0,1,1,0,2,1,2,0,0,0,0,1,1,1,1,1,3
0,0,1,1,1,0,3,2,6,0,1,0,1,1,1,1,1,0,3
0,1,1,1,1,0,3,1,5,0,0,0,0,1,1,1,1,0,3
0,0,0,1,1,1,4,2,6,0,1,0,0,1,1,1,1,0,3
0,0,1,1,1,0,2,1,5,0,0,1,0,1,1,1,1,0,3
0,0,0,1,1,1,2,2,2,0,0,1,0,1,1,1,1,0,3
0,0,0,1,1,0,3,2,4,0,0,1,0,1,1,1,1,1,3
0,1,0,1,1,0,4,1,7,0,0,0,1,1,1,1,1,0,3
0,0,0,1,1,0,4,2,8,0,1,0,0,1,1,1,1,1,3
0,1,0,1,1,1,3,3,6,0,0,0,0,1,1,1,1,0,3
0,1,1,1,1,0,5,3,7,0,0,0,0,1,1,1,1,0,3
0,0,0,1,1,0,3,2,8,0,1,0,1,1,1,1,1,0,3
0,0,0,1,1,0,5,4,8,0,0,1,1,1,1,1,1,0,3
0,0,0,1,1,0,3,1,3,0,1,0,0,1,1,1,1,1,3
0,0,0,1,1,0,2,2,4,0,0,1,0,1,1,1,1,1,3
0,1,0,1,1,1,2,2,3,0,0,0,0,1,1,1,1,0,3
0,1,0,1,1,0,4,2,7,0,0,0,1,1,1,1,1,0,3
0,1,0,1,1,0,5,1,10,0,0,0,0,1,1,1,1,1,3
0,0,0,1,1,1,3,3,8,0,1,0,0,1,1,1,1,0,3
0,0,0,1,1,1,5,4,9,0,0,1,0,1,1,1,1,0,3
0,0,1,1,1,0,2,1,4,0,1,0,0,1,1,1,1,0,3
0,0,0,1,1,0,5,2,8,0,0,1,0,1,1,1,1,1,3
0,0,0,1,1,1,4,3,6,0,1,0,0,1,1,1,1,0,3
0,1,1,1,1,0,5,3,8,0,0,0,0,1,1,1,1,0,3
0,1,0,1,1,0,3,3,4,0,0,0,0,1,1,1,1,1,3
0,1,0,1,1,1,2,1,4,0,0,0,0,1,1,1,1,0,3
0,0,0,1,1,0,4,4,7,0,1,0,1,1,1,1,1,0,3
0,0,1,1,1,0,5,4,9,0,0,1,0,1,1,1,1,0,3
0,0,0,1,1,0,3,1,6,0,0,1,0,1,1,1,1,1,3
0,0,0,1,1,0,4,2,5,0,0,1,1,1,1,1,1,0,3
0,0,0,1,1,0,5,4,7,0,1,0,0,1,1,1,1,1,3
0,0,0,1,1,1,2,2,5,0,1,0,0,1,1,1,1,0,3
0,0,0,1,1,1,3,3,3,0,0,1,0,1,1,1,1,0,3
0,0,0,1,0,0,3,1,5,1,0,1,0,0,0,0,0,1,4
0,1,0,1,1,0,1,1,2,0,1,0,0,0,1,0,0,0,4
0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,4
1,1,1,1,0,0,3,1,3,0,0,0,1,1,0,1,0,0,4
0,1,0,1,0,0,2,2,2,0,0,0,0,1,0,0,1,1,4
0,1,1,1,0,0,2,1,4,0,0,1,0,0,1,0,0,0,4
0,0,1,1,0,0,3,1,4,0,1,0,1,0,0,0,1,0,4
1,1,0,1,1,0,2,1,2,0,0,1,0,0,0,0,0,0,4
1,0,0,1,0,1,3,3,3,0,1,0,0,1,0,0,0,0,4
0,0,1,1,0,0,1,1,3,1,1,1,0,0,0,0,0,0,4
0,0,0,1,0,0,3,2,6,1,1,0,1,1,0,0,0,0,4
1,0,0,1,0,0,3,1,5,0,1,0,0,1,0,0,0,1,4
1,0,0,1,0,0,2,2,5,0,1,1,0,0,0,0,0,1,4
0,0,0,1,0,0,2,1,5,0,1,1,0,0,1,0,0,1,4
0,0,0,1,1,0,3,1,6,0,0,0,0,1,0,1,1,0,4
1,0,0,1,1,0,4,2,7,0,1,1,0,0,0,0,0,0,4
0,0,0,1,0,0,3,1,6,1,1,1,0,0,0,0,0,1,4
0,1,0,1,0,1,4,1,6,1,0,1,0,0,0,0,1,0,4
1,1,0,1,0,0,2,2,3,0,1,0,0,0,0,0,0,1,4
0,0,0,1,0,0,3,1,7,0,1,1,0,0,1,0,0,1,4
0,1,0,1,0,0,4,3,5,0,1,0,0,0,0,0,1,1,4
0,0,1,1,0,0,4,4,8,0,0,0,1,1,1,0,0,0,4
1,0,1,1,0,0,3,2,5,0,0,0,0,1,0,1,0,0,4
0,0,0,1,0,1,4,3,8,0,1,1,0,0,1,0,0,0,4
0,0,0,1,1,0,3,3,5,0,0,1,0,1,0,0,1,0,4
0,0,0,1,0,0,4,4,5,0,1,1,1,0,0,0,1,0,4
0,1,1,1,0,0,4,4,4,1,1,0,0,0,0,0,0,0,4
1,1,1,1,0,0,2,1,3,0,1,0,0,0,0,0,0,0,4
1,0,0,1,0,1,1,1,4,0,1,0,0,0,0,1,0,0,4
0,0,0,1,0,0,2,2,4,0,0,0,1,1,0,1,1,0,4
0,0,0,1,0,0,3,3,4,1,1,0,1,0,0,1,0,0,4
1,0,0,1,1,0,3,2,7,0,0,1,0,0,0,1,0,0,4
0,0,0,0,1,0,2,1,4,0,0,0,0,0,0,0,0,1,5
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,2,1,2,0,1,0,1,0,0,0,0,1,5
0,0,0,1,1,0,2,1,3,0,0,0,0,0,0,1,0,0,5
0,0,0,0,1,0,1,1,2,0,0,0,0,1,0,0,0,0,5
0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,1,2,2,3,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,2,2,5,0,0,0,0,0,0,0,0,1,5
0,0,1,1,0,1,2,2,2,0,0,1,0,0,0,0,0,0,5
0,0,0,1,1,0,2,2,5,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,1,2,1,5,0,0,0,0,0,0,1,0,1,5
0,0,0,0,1,0,2,2,6,0,0,0,0,1,0,0,0,0,5
0,1,0,0,0,0,2,2,4,0,0,0,1,0,0,0,0,1,5
0,0,0,1,0,1,2,1,6,0,0,1,0,0,0,0,0,0,5
0,0,0,0,1,1,3,1,4,0,1,0,0,0,0,0,0,0,5
0,1,0,1,0,0,3,3,3,0,0,0,0,0,0,0,0,1,5
0,0,0,0,1,0,3,2,5,0,0,0,0,0,0,1,0,1,5
0,1,1,1,0,0,3,1,5,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,3,2,3,0,0,1,0,0,0,0,0,1,5
0,0,1,0,0,1,3,3,3,0,1,0,0,0,0,0,0,0,5
0,1,1,0,0,0,3,3,4,0,0,0,0,0,0,0,0,1,5
0,0,1,0,0,0,3,2,4,0,0,0,1,1,0,0,0,0,5
0,0,0,0,1,1,3,2,6,0,0,0,0,0,0,1,0,0,5
0,1,0,1,0,1,2,2,6,0,0,0,0,0,0,0,0,0,5
0,0,1,0,1,0,3,1,3,0,1,0,0,0,0,0,0,0,5
0,0,0,0,0,0,1,1,4,0,0,1,1,0,0,0,0,1,5
0,0,1,0,0,0,3,1,7,0,0,0,1,1,0,0,0,0,5
0,0,0,0,1,0,3,2,7,0,1,0,1,0,0,0,0,0,5
0,1,0,0,1,1,3,3,3,0,0,0,0,0,0,0,0,0,5
0,0,1,1,0,0,3,1,4,0,0,1,0,0,0,0,0,0,5
0,0,0,0,0,0,2,2,5,0,1,0,1,0,0,0,0,1,5
0,0,0,0,1,1,3,2,4,0,1,0,0,0,0,0,0,0,5
0,0,0,0,1,0,2,2,2,0,0,0,1,1,0,0,0,0,5
0,1,0,1,0,0,3,2,6,0,0,0,1,0,0,0,0,0,5
0,0,0,0,0,0,2,1,6,0,1,0,1,0,0,0,0,1,5
0,0,0,1,0,1,3,2,3,0,1,0,0,0,0,0,0,0,5
0,0,0,0,1,1,3,1,5,0,0,1,0,0,0,0,0,0,5
